run_id,sequence,task_id,model_requested,model_returned,repetition,score,score_percent,pass,critical_failure,latency_ms,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd
T01__gpt-5.6-sol__r1,1,T01,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,4116,364,0,0,191,0,0.00755
T01__gpt-5.6-terra__r1,2,T01,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,2196,364,0,0,191,0,0.00302
T01__gpt-5.6-luna__r1,3,T01,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2759,364,0,0,240,47,0.0003608
T01__gpt-5.6-terra__r2,4,T01,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,2131,364,0,0,191,0,0.00302
T01__gpt-5.6-luna__r2,5,T01,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,2272,364,0,0,225,32,0.00034280000000000004
T01__gpt-5.6-sol__r2,6,T01,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2674,364,0,0,191,0,0.00755
T01__gpt-5.6-luna__r3,7,T01,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2894,364,0,0,239,46,0.0003596
T01__gpt-5.6-sol__r3,8,T01,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,2198,364,0,0,191,0,0.00755
T01__gpt-5.6-terra__r3,9,T01,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,2307,364,0,0,191,0,0.00302
T02__gpt-5.6-sol__r1,10,T02,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,2993,254,0,0,134,73,0.00529
T02__gpt-5.6-terra__r1,11,T02,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,2214,254,0,0,146,85,0.00226
T02__gpt-5.6-luna__r1,12,T02,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,1993,254,0,0,137,76,0.00021520000000000003
T02__gpt-5.6-terra__r2,13,T02,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,1817,254,0,0,132,71,0.002092
T02__gpt-5.6-luna__r2,14,T02,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,1986,254,0,0,141,80,0.00022
T02__gpt-5.6-sol__r2,15,T02,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,3921,254,0,0,140,79,0.00547
T02__gpt-5.6-luna__r3,16,T02,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,1954,254,0,0,137,76,0.00021520000000000003
